,Name,Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Ret,Rt,Y/Rt,APYd,Player ID,QBrec,Cmp,Cmp%,TD%,Int%,AY/A,Y/C,Rate,Sk%,NY/A,ANY/A,4QC,GWD,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck,QBR
116,Maurice Alexander,2022.0,25.0,DET,WR,15.0,4.0,0.0,,,,,0.0,,,,,,,,,146.0,0.0,,,47.0,,,,,,,,,0.0,,,,,,,,,,,,,,6.0,24.3,153.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Mike Alexander,1989.0,24.0,RAI,WR,89.0,16.0,0.0,,15.0,295.0,19.7,1.0,,,61.0,0.9,18.4,,,,,0.0,,,,,,,15.0,19.7,295.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Mike Alexander,1991.0,26.0,BUF,WR,86.0,3.0,1.0,,1.0,7.0,7.0,0.0,,,7.0,0.3,2.3,,,,,0.0,,,,,,,1.0,7.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Ray Alexander,1984.0,22.0,DEN,WR,80.0,8.0,0.0,,8.0,132.0,16.5,1.0,,,41.0,1.0,16.5,,,,,0.0,,,,,,,8.0,16.5,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Ray Alexander,1988.0,26.0,DAL,WR,87.0,16.0,11.0,,54.0,788.0,14.6,6.0,,,50.0,3.4,49.3,,,,,0.0,,,,,,,54.0,14.6,788.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Ray Alexander,1989.0,27.0,DAL,WR,87.0,2.0,0.0,,1.0,16.0,16.0,0.0,,,16.0,0.5,8.0,,,,,0.0,,,,,,,1.0,16.0,16.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Alton Alexis,1980.0,23.0,CIN,WR,82.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Brian Alford,1998.0,23.0,NYG,WR,84.0,2.0,0.0,6.0,1.0,11.0,11.0,0.0,,,11.0,0.5,5.5,16.7%,1.8,,,0.0,,,,,,,1.0,11.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Brian Alford,1999.0,24.0,NYG,WR,80.0,2.0,0.0,5.0,1.0,7.0,7.0,1.0,1.0,20.0,7.0,0.5,3.5,20.0%,1.4,,,0.0,,,,,,,1.0,7.0,7.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Mario Alford,2015.0,23.0,CIN,WR,15.0,1.0,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,15.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Mario Alford,2016.0,24.0,CLE,WR,15.0,3.0,0.0,,,68.0,8.5,0.0,,,17.0,,,,,,190.0,0.0,,,36.0,,,,,,,,,0.0,,,,,,,,,,,,,8.0,8.0,23.8,258.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Josh Ali,2022.0,23.0,ATL,WR,80.0,2.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0%,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Anthony Allen,1985.0,26.0,ATL,WR,85.0,16.0,2.0,,14.0,207.0,14.8,2.0,,,37.0,0.9,12.9,,,,,0.0,,,,,,,14.0,14.8,207.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Anthony Allen,1986.0,27.0,ATL,WR,85.0,5.0,2.0,,10.0,156.0,15.6,2.0,,,32.0,2.0,31.2,,,,,0.0,,,,,,,10.0,15.6,156.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Anthony Allen,1987.0,28.0,WAS,WR,89.0,3.0,3.0,,13.0,337.0,25.9,3.0,,,88.0,4.3,112.3,,,,,0.0,,,,,,,13.0,25.9,337.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
