,Name,Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Att,Yds.1,TD.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Tgt,1D,Succ%,Ctch%,Y/Tgt,1D.1,Succ%.1,Player ID,Int,PD,FF,FR,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Pts,Pts/G,Ret,Rt,Y/Rt,APYd,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,FG%,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Y/P,RetYds,Net,NY/P,In20,In20%,Blck
10,Kyle Adams,2013.0,25.0,2TM,TE,,6.0,1.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Nate Adkins,2023.0,24.0,DEN,TE,45.0,10.0,1.0,4.0,22.0,5.5,0.0,11.0,0.4,2.2,,,0.0,,,,,4.0,5.5,22.0,0.0,0.0,0.0,5.0,1.0,20.0,80.0%,4.4,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jordan Akins,2018.0,26.0,HOU,TE,88.0,16.0,6.0,17.0,225.0,13.2,0.0,28.0,1.1,14.1,,,0.0,,,,,17.0,13.2,225.0,0.0,0.0,2.0,25.0,11.0,52.0,68.0%,9.0,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jordan Akins,2019.0,27.0,HOU,TE,88.0,16.0,9.0,36.0,418.0,11.6,2.0,53.0,2.3,26.1,,,0.0,,,,,36.0,11.6,418.0,2.0,0.0,4.0,55.0,21.0,49.1,65.5%,7.6,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jordan Akins,2020.0,28.0,HOU,TE,88.0,13.0,5.0,37.0,403.0,10.9,1.0,26.0,2.8,31.0,1.0,4.0,0.0,4.0,4.0,0.3,0.1,38.0,10.7,407.0,1.0,0.0,3.0,49.0,20.0,65.3,75.5%,8.2,1.0,100.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jordan Akins,2021.0,29.0,HOU,TE,88.0,13.0,3.0,24.0,214.0,8.9,0.0,31.0,1.8,16.5,1.0,3.0,0.0,3.0,3.0,0.2,0.1,25.0,8.7,217.0,0.0,2.0,2.0,33.0,11.0,57.6,72.7%,6.5,1.0,100.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jordan Akins,2022.0,30.0,HOU,TE,88.0,15.0,3.0,37.0,495.0,13.4,5.0,46.0,2.5,33.0,,,0.0,,,,,37.0,13.4,495.0,5.0,1.0,4.0,54.0,23.0,53.7,68.5%,9.2,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jordan Akins,2023.0,31.0,CLE,TE,84.0,17.0,4.0,15.0,132.0,8.8,0.0,28.0,0.9,7.8,,,0.0,,,,,15.0,8.8,132.0,0.0,0.0,1.0,23.0,6.0,52.2,65.2%,5.7,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Zac Alcorn,2006.0,23.0,GNB,TE,49.0,6.0,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,217.0,,,0.0,,0.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Stephen Alexander,1998.0,23.0,WAS,TE,80.0,15.0,5.0,37.0,383.0,10.4,4.0,33.0,2.5,25.5,,,0.0,,,,,37.0,10.4,383.0,4.0,2.0,3.0,58.0,23.0,50.0,63.8%,6.6,,,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Stephen Alexander,1999.0,24.0,WAS,TE,80.0,15.0,15.0,29.0,324.0,11.2,3.0,27.0,1.9,21.6,,,0.0,,,,,29.0,11.2,324.0,3.0,0.0,3.0,47.0,19.0,53.2,61.7%,6.9,,,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Stephen Alexander,2000.0,25.0,WAS,TE,80.0,16.0,16.0,47.0,510.0,10.9,2.0,30.0,2.9,31.9,,,0.0,,,,,47.0,10.9,510.0,2.0,2.0,4.0,72.0,33.0,58.3,65.3%,7.1,,,273.0,,,,,,,,,,,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
